idMUNICIPIO,NomeM,POP_2010,POP_2013,POP_2014,POP_2015,POP_2016,QTD_IES,IDH_2010,GINI_2010,PIB_2010,PERCAPITA_2010,UF_idUF
859,Araxá,93683,98089,99557,101026,102495,1,0.77200001,0.4844,2947025.456,31457.42,11
860,"Jacaré Dos Homens",5413,5321,5290,5260,5229,0,0.58300000,0.5015,31849.827,5883.95,2
861,"Getúlio Vargas",16156,16050,16015,15980,15944,0,0.74599999,0.4470,272654.030,16876.33,23
862,"Nova Luzitânia",3441,3649,3718,3787,3856,0,0.74299997,0.3652,33685.471,9789.44,26
863,Itapeva,87765,89235,89725,90215,90704,1,0.73199999,0.5393,1214679.465,13840.14,26
864,"Vale Real",5121,5355,5433,5512,5590,0,0.73699999,0.2947,57753.233,11277.73,23
865,Macururé,8067,7904,7849,7795,7740,0,0.60399997,0.5467,28472.026,3529.44,5
866,"Vera Mendes",2987,3011,3019,3027,3035,0,0.50300002,0.5815,12900.009,4318.72,17
867,Ângulo,2861,2867,2869,2872,2874,0,0.72100002,0.4445,39181.233,13694.94,18
868,"Três Cachoeiras",10239,10454,10525,10597,10669,0,0.71799999,0.3947,125689.883,12275.60,23
869,"Santa Maria Do Pará",23033,23688,23906,24125,24343,0,0.59799999,0.5313,107237.493,4655.82,14
870,Aveiro,15767,15842,15867,15892,15916,0,0.54100001,0.6049,52850.776,3351.99,14
871,Uruçuca,19840,19695,19647,19599,19550,0,0.61600000,0.4949,97992.123,4939.12,5
872,Queluz,11325,11989,12210,12432,12653,0,0.72200000,0.4711,91774.188,8103.68,26
873,Cacoal,78601,80111,80614,81118,81621,2,0.71799999,0.5890,1168442.114,14865.49,21
874,"Amparo Do Serra",5052,4925,4882,4840,4797,0,0.64099997,0.4617,26713.272,5287.66,11
875,Jaguarão,27942,27297,27082,26867,26651,0,0.70700002,0.5009,427919.318,15314.56,23
876,Josenópolis,4566,4660,4691,4723,4754,0,0.56400001,0.4621,23069.782,5052.51,11
877,"Jardim Olinda",1409,1375,1363,1352,1341,0,0.68199998,0.4443,22101.089,15685.66,18
878,"Silva Jardim",21360,21389,21398,21408,21417,0,0.65399998,0.5072,192515.200,9012.88,19
879,Penaforte,8226,8589,8710,8831,8951,0,0.64600003,0.4578,44003.805,5349.36,6
880,"Cristiano Otoni",5007,5038,5048,5058,5068,0,0.69499999,0.4465,43065.019,8600.96,11
881,Itanhaém,87053,91570,93076,94582,96088,0,0.74500000,0.5140,937490.023,10769.19,26
882,"Muniz Ferreira",7310,7421,7458,7495,7531,0,0.61699998,0.5203,30963.657,4235.79,5
883,"Dona Francisca",3401,3251,3201,3151,3100,0,0.69700003,0.4721,43381.452,12755.50,23
884,"José Raydan",4376,4595,4668,4741,4813,0,0.61699998,0.4902,30848.432,7049.46,11
885,"Santa Fé Do 5",29235,30052,30324,30597,30869,0,0.78399998,0.4983,610317.132,20876.25,26
886,Parnamirim,202413,225730,233502,241275,249047,0,0.76599997,0.5604,2350562.015,11612.70,20
887,"Quatro Pontes",3804,3851,3867,3883,3899,0,0.79100001,0.4699,74354.357,19546.36,18
888,Amambai,34739,36316,36841,37367,37892,0,0.67299998,0.5628,379388.896,10921.12,12
889,Irati,56288,57469,57862,58256,58650,0,0.72600001,0.4930,711104.377,12633.32,18
890,Buenópolis,10291,10268,10260,10253,10245,0,0.66900003,0.4991,75466.974,7333.30,11
891,"Ponte Nova",57361,57978,58184,58390,58596,0,0.71700001,0.5173,789734.371,13767.79,11
892,Forquetinha,2473,3215,3462,3710,3957,0,0.68300003,0.3843,29359.776,11872.13,23
893,"Duas Estradas",3640,3587,3569,3551,3533,0,0.60299999,0.5231,21382.505,5874.31,15
894,"Honório Serpa",5960,5679,5586,5492,5398,0,0.68300003,0.4760,95007.915,15940.93,18
895,Nhamundá,18278,19155,19447,19740,20032,0,0.58600003,0.6586,72239.295,3952.25,3
896,"Porto Alegre Do Tocantins",2795,2916,2956,2996,3036,0,0.64499998,0.5190,18006.383,6442.36,27
897,Jacaraci,13656,13697,13710,13724,13738,0,0.59299999,0.4762,52617.672,3853.08,5
898,"São Vicente Do 5",8440,8471,8482,8492,8502,0,0.68500000,0.5211,122200.621,14478.75,23
899,"Santa Cruz",13594,14293,14526,14759,14992,0,0.54900002,0.5686,58310.929,4289.46,16
900,Virmond,3950,3950,3950,3951,3951,0,0.72200000,0.5398,49435.910,12515.42,18
901,Jatobá,8526,9567,9914,10262,10609,0,0.56099999,0.5800,39179.455,4595.29,10
902,"Flores De Goiás",12058,13421,13876,14330,14784,0,0.59700000,0.6255,100697.536,8351.10,9
903,Piracema,6406,6375,6365,6355,6344,0,0.64600003,0.4425,65829.970,10276.30,11
904,"Frei Inocêncio",8924,9148,9223,9298,9373,0,0.64800000,0.4710,58346.692,6538.18,11
905,"Nova Trento",12179,12877,13110,13343,13575,0,0.74800003,0.3632,201990.297,16585.13,24
906,"Olho dágua Do Borges",4301,4253,4237,4221,4205,0,0.58499998,0.4914,21281.611,4948.06,20
907,"São Manuel",38390,38944,39128,39313,39497,0,0.74400002,0.4607,841580.350,21921.86,26
908,Frutal,53474,55546,56237,56928,57619,0,0.73000002,0.4830,923484.847,17269.79,11
909,Amaralina,3424,3529,3564,3599,3634,0,0.60900003,0.5645,33488.095,9780.40,9
